revision;file;methodSignature
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\db\AndlyticsDb;fetchRevenueSummary(AppInfo);public synchronized void fetchRevenueSummary(AppInfo appInfo) {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\model\AppStats;getTotalRevenue();public Revenue getTotalRevenue() {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\model\RevenueSummary;hasRevenue();public boolean hasRevenue() {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\console\v2\JsonParser;parseRevenueResponse(String);static RevenueSummary parseRevenueResponse(String json) throws JSONException {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\ContentAdapter;getRevenueSummaryForApp(AppInfo);public RevenueSummary getRevenueSummaryForApp(AppInfo app) {
E:\Mestrado\FPFNAnalysis\projects\andlytics\revisions\rev_66f86ad_333f857\rev_66f86ad-333f857;\src\com\github\andlyticsproject\console\v2\DevConsoleV2;fetchRevenueSummary(AppInfo);private RevenueSummary fetchRevenueSummary(AppInfo appInfo) throws DevConsoleException {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport-sctp\src\main\java\io\netty\channel\sctp\SctpWorker;registerTask(AbstractNioChannel,ChannelFuture);@Override    protected void registerTask(AbstractNioChannel ch, ChannelFuture future) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\example\src\main\java\io\netty\example\http\snoop\HttpSnoopClientHandler;messageReceived(ChannelHandlerContext,MessageEvent);@Override    public void messageReceived(ChannelHandlerContext ctx, MessageEvent e) throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\nio\SendBufferPool;acquire(ChannelBuffer);private SendBuffer acquire(ChannelBuffer src) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec-http\src\main\java\io\netty\handler\codec\spdy\SpdySessionHandler;sendGoAwayFrame(ChannelHandlerContext,ChannelStateEvent);private void sendGoAwayFrame(ChannelHandlerContext ctx, ChannelStateEvent e) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec-http\src\main\java\io\netty\handler\codec\spdy\SpdyFrameEncoder;encode(ChannelHandlerContext,Channel,Object);@Override    protected Object encode(            ChannelHandlerContext ctx, Channel channel, Object msg)            throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\handler\src\main\java\io\netty\handler\traffic\ChannelTrafficShapingHandler;channelConnected(ChannelHandlerContext,ChannelStateEvent);@Override    public void channelConnected(ChannelHandlerContext ctx, ChannelStateEvent e)            throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec-http\src\main\java\io\netty\handler\codec\http\HttpClientCodec;decode(ChannelHandlerContext,Channel,ChannelBuffer,State);@Override        protected Object decode(ChannelHandlerContext ctx, Channel channel,                ChannelBuffer buffer, State state) throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\oio\AbstractOioWorker;processEventQueue();private void processEventQueue() {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport-sctp\src\test\java\io\netty\testsuite\util\SctpTestUtil;isSctpSupported();public static boolean isSctpSupported() {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\oio\OioWorker;write(OioSocketChannel,ChannelFuture,Object);static void write(            OioSocketChannel channel, ChannelFuture future,            Object message) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec-http\src\main\java\io\netty\handler\codec\http\websocketx\WebSocket08FrameDecoder;decode(ChannelHandlerContext,Channel,ChannelBuffer,State);@Override    protected Object decode(ChannelHandlerContext ctx, Channel channel, ChannelBuffer buffer, State state)            throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\nio\NioServerSocketPipelineSink;bind(NioServerSocketChannel,ChannelFuture,SocketAddress);private void bind(            NioServerSocketChannel channel, ChannelFuture future,            SocketAddress localAddress) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\nio\NioWorker;registerTask(AbstractNioChannel,ChannelFuture);@Override    protected void registerTask(AbstractNioChannel channel, ChannelFuture future) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec\src\main\java\io\netty\handler\codec\replay\ReplayingDecoder;cleanup(ChannelHandlerContext,ChannelStateEvent);@Override    protected void cleanup(ChannelHandlerContext ctx, ChannelStateEvent e)            throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\nio\NioServerSocketChannelFactory;releaseExternalResources();@Override    public void releaseExternalResources() {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec-http\src\test\java\io\netty\handler\codec\spdy\SpdySessionHandlerTest;messageReceived(ChannelHandlerContext,MessageEvent);@Override        public void messageReceived(ChannelHandlerContext ctx, MessageEvent e)                throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\nio\NioProviderMetadata;main(String[]);public static void main(String[] args) throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport-sctp\src\test\java\io\netty\testsuite\transport\sctp\SctpMultiHomingEchoTest;sctpNotificationReceived(ChannelHandlerContext,SctpNotificationEvent);@Override        public void sctpNotificationReceived(ChannelHandlerContext ctx, SctpNotificationEvent event) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\handler\src\main\java\io\netty\handler\traffic\GlobalTrafficShapingHandler;createGlobalTrafficCounter();void createGlobalTrafficCounter() {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec-http\src\main\java\io\netty\handler\codec\spdy\SpdyHttpDecoder;decode(ChannelHandlerContext,Channel,Object);@Override    protected Object decode(ChannelHandlerContext ctx, Channel channel, Object msg)            throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport-http\src\test\java\io\netty\channel\socket\http\HttpTunnelSoakTester;run();@Override        public void run() {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\example\src\main\java\io\netty\example\qotm\QuoteOfTheMomentClientHandler;exceptionCaught(ChannelHandlerContext,ExceptionEvent);@Override    public void exceptionCaught(ChannelHandlerContext ctx, ExceptionEvent e)            throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec\src\main\java\io\netty\handler\codec\frame\FrameDecoder;newCumulationBuffer(ChannelHandlerContext,int);protected ChannelBuffer newCumulationBuffer(            ChannelHandlerContext ctx, int minimumCapacity) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\handler\src\main\java\io\netty\handler\traffic\AbstractTrafficShapingHandler;releaseExternalResources();public void releaseExternalResources() {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec-http\src\main\java\io\netty\handler\codec\spdy\SpdyFrameDecoder;decode(ChannelHandlerContext,Channel,ChannelBuffer);@Override    protected Object decode(            ChannelHandlerContext ctx, Channel channel, ChannelBuffer buffer)            throws Exception {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\nio\AbstractNioWorker;cleanUpWriteBuffer(AbstractNioChannel);protected void cleanUpWriteBuffer(AbstractNioChannel channel) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\transport\src\main\java\io\netty\channel\socket\nio\NioDatagramWorker;registerTask(AbstractNioChannel,ChannelFuture);@Override    protected void registerTask(AbstractNioChannel channel, ChannelFuture future) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\handler\src\main\java\io\netty\handler\traffic\TrafficCounter;configure(long);public void configure(long newcheckInterval) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\example\src\main\java\io\netty\example\redis\RedisClient;requestResponse(BlockingReadHandler<Reply>,Channel,int);private static void requestResponse(BlockingReadHandler<Reply> blockingReadHandler, Channel channel, int CALLS) throws IOException, InterruptedException {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\codec\src\main\java\io\netty\handler\codec\frame\FixedLengthFrameDecoder;newCumulationBuffer(ChannelHandlerContext,int);@Override    protected ChannelBuffer newCumulationBuffer(ChannelHandlerContext ctx, int minimumCapacity) {
E:\Mestrado\FPFNAnalysis\projects\netty\revisions\rev_326b88c_6d39c34\rev_326b88c-6d39c34;\example\src\main\java\io\netty\example\sctp\SctpClient;main(String[]);public static void main(String[] args) throws Exception {
E:\Mestrado\FPFNAnalysis\projects\OpenTripPlanner\revisions\rev_2c58919_7e7510f\rev_2c58919-7e7510f;\otp-core\src\main\java\org\opentripplanner\api\ws\Debug;computeSummary();private void computeSummary() {
E:\Mestrado\FPFNAnalysis\projects\Osmand\revisions\rev_6b959dd_8ceaed0\rev_6b959dd-8ceaed0;\DataExtractionOSM\src\net\osmand\swing\MapClusterLayer;clustering(double,double);
E:\Mestrado\FPFNAnalysis\projects\Osmand\revisions\rev_6b959dd_8ceaed0\rev_6b959dd-8ceaed0;\DataExtractionOSM\src\net\osmand\router\BinaryRoutePlanner;getTurnInfo(List<RouteSegmentResult>,int,boolean);
E:\Mestrado\FPFNAnalysis\projects\Osmand\revisions\rev_6b959dd_8ceaed0\rev_6b959dd-8ceaed0;\DataExtractionOSM\src\net\osmand\swing\MapRouterLayer;selfRoute(LatLon,LatLon,List<LatLon>,List<RouteSegmentResult>);
